transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5390558838844299, 0.13894669711589813, 0.277711421251297, 0.044286057353019714], [0.5160713195800781, 0.14116105437278748, 0.2837946116924286, 0.058972980827093124], [0.8325265049934387, 0.15223263204097748, 0.011378755792975426, 0.0038620748091489077], [0.8653374314308167, 0.12759394943714142, 0.004259427078068256, 0.0028091343119740486]], [[0.16674606502056122, 0.5060228109359741, 0.24946929514408112, 0.07776185125112534], [0.1590707153081894, 0.49890002608299255, 0.2699682414531708, 0.0720609575510025], [0.2708922028541565, 0.6689686179161072, 0.00043697026558220387, 0.05970226973295212], [0.7509393692016602, 0.14007118344306946, 0.00044269266072660685, 0.10854674130678177]]]","[0.8653374314308167, 0.7509393692016602]","[3, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5390558838844299, 0.13894669711589813, 0.277711421251297, 0.044286057353019714], [0.5160713195800781, 0.14116105437278748, 0.2837946116924286, 0.058972980827093124], [0.8325265049934387, 0.15223263204097748, 0.011378755792975426, 0.0038620748091489077], [0.8653374314308167, 0.12759394943714142, 0.004259427078068256, 0.0028091343119740486]], [[0.16674606502056122, 0.5060228109359741, 0.24946929514408112, 0.07776185125112534], [0.1590707153081894, 0.49890002608299255, 0.2699682414531708, 0.0720609575510025], [0.2708922028541565, 0.6689686179161072, 0.00043697026558220387, 0.05970226973295212], [0.7509393692016602, 0.14007118344306946, 0.00044269266072660685, 0.10854674130678177]]]","[0.8653374314308167, 0.7509393692016602]","[3, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5390558838844299, 0.13894669711589813, 0.277711421251297, 0.044286057353019714], [0.5160713195800781, 0.14116105437278748, 0.2837946116924286, 0.058972980827093124], [0.8325265049934387, 0.15223263204097748, 0.011378755792975426, 0.0038620748091489077], [0.8653374314308167, 0.12759394943714142, 0.004259427078068256, 0.0028091343119740486]], [[0.16674606502056122, 0.5060228109359741, 0.24946929514408112, 0.07776185125112534], [0.1590707153081894, 0.49890002608299255, 0.2699682414531708, 0.0720609575510025], [0.2708922028541565, 0.6689686179161072, 0.00043697026558220387, 0.05970226973295212], [0.7509393692016602, 0.14007118344306946, 0.00044269266072660685, 0.10854674130678177]]]","[0.8653374314308167, 0.7509393692016602]","[3, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5390558838844299, 0.13894669711589813, 0.277711421251297, 0.044286057353019714], [0.5160713195800781, 0.14116105437278748, 0.2837946116924286, 0.058972980827093124], [0.8325265049934387, 0.15223263204097748, 0.011378755792975426, 0.0038620748091489077], [0.8653374314308167, 0.12759394943714142, 0.004259427078068256, 0.0028091343119740486]], [[0.16674606502056122, 0.5060228109359741, 0.24946929514408112, 0.07776185125112534], [0.1590707153081894, 0.49890002608299255, 0.2699682414531708, 0.0720609575510025], [0.2708922028541565, 0.6689686179161072, 0.00043697026558220387, 0.05970226973295212], [0.7509393692016602, 0.14007118344306946, 0.00044269266072660685, 0.10854674130678177]]]","[0.8653374314308167, 0.7509393692016602]","[3, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.24833452701568604, 0.47297751903533936, 0.12793725728988647, 0.15075066685676575], [0.2264794260263443, 0.4577442407608032, 0.12454410642385483, 0.19123224914073944], [0.41682642698287964, 0.5631886124610901, 0.005697072017937899, 0.014287840574979782], [0.472048819065094, 0.5143045783042908, 0.0023235527332872152, 0.011323036625981331]], [[0.040027666836977005, 0.8975604176521301, 0.05988551676273346, 0.002526285359635949], [0.03856080770492554, 0.8936312794685364, 0.06544380635023117, 0.002364105312153697], [0.05187066271901131, 0.9464985132217407, 8.367145346710458e-05, 0.001547131105326116], [0.4169415831565857, 0.5746562480926514, 0.0002457948576193303, 0.00815639179199934]]]","[0.5631886124610901, 0.9464985132217407]","[2, 2]","[1, 1]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5390558838844299, 0.13894669711589813, 0.277711421251297, 0.044286057353019714], [0.5160713195800781, 0.14116105437278748, 0.2837946116924286, 0.058972980827093124], [0.8325265049934387, 0.15223263204097748, 0.011378755792975426, 0.0038620748091489077], [0.8653374314308167, 0.12759394943714142, 0.004259427078068256, 0.0028091343119740486]], [[0.16674606502056122, 0.5060228109359741, 0.24946929514408112, 0.07776185125112534], [0.1590707153081894, 0.49890002608299255, 0.2699682414531708, 0.0720609575510025], [0.2708922028541565, 0.6689686179161072, 0.00043697026558220387, 0.05970226973295212], [0.7509393692016602, 0.14007118344306946, 0.00044269266072660685, 0.10854674130678177]]]","[0.8653374314308167, 0.7509393692016602]","[3, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5390558838844299, 0.13894669711589813, 0.277711421251297, 0.044286057353019714], [0.5160713195800781, 0.14116105437278748, 0.2837946116924286, 0.058972980827093124], [0.8325265049934387, 0.15223263204097748, 0.011378755792975426, 0.0038620748091489077], [0.8653374314308167, 0.12759394943714142, 0.004259427078068256, 0.0028091343119740486]], [[0.16674606502056122, 0.5060228109359741, 0.24946929514408112, 0.07776185125112534], [0.1590707153081894, 0.49890002608299255, 0.2699682414531708, 0.0720609575510025], [0.2708922028541565, 0.6689686179161072, 0.00043697026558220387, 0.05970226973295212], [0.7509393692016602, 0.14007118344306946, 0.00044269266072660685, 0.10854674130678177]]]","[0.8653374314308167, 0.7509393692016602]","[3, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5390558838844299, 0.13894669711589813, 0.277711421251297, 0.044286057353019714], [0.5160713195800781, 0.14116105437278748, 0.2837946116924286, 0.058972980827093124], [0.8325265049934387, 0.15223263204097748, 0.011378755792975426, 0.0038620748091489077], [0.8653374314308167, 0.12759394943714142, 0.004259427078068256, 0.0028091343119740486]], [[0.16674606502056122, 0.5060228109359741, 0.24946929514408112, 0.07776185125112534], [0.1590707153081894, 0.49890002608299255, 0.2699682414531708, 0.0720609575510025], [0.2708922028541565, 0.6689686179161072, 0.00043697026558220387, 0.05970226973295212], [0.7509393692016602, 0.14007118344306946, 0.00044269266072660685, 0.10854674130678177]]]","[0.8653374314308167, 0.7509393692016602]","[3, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5390558838844299, 0.13894669711589813, 0.277711421251297, 0.044286057353019714], [0.5160713195800781, 0.14116105437278748, 0.2837946116924286, 0.058972980827093124], [0.8325265049934387, 0.15223263204097748, 0.011378755792975426, 0.0038620748091489077], [0.8653374314308167, 0.12759394943714142, 0.004259427078068256, 0.0028091343119740486]], [[0.16674606502056122, 0.5060228109359741, 0.24946929514408112, 0.07776185125112534], [0.1590707153081894, 0.49890002608299255, 0.2699682414531708, 0.0720609575510025], [0.2708922028541565, 0.6689686179161072, 0.00043697026558220387, 0.05970226973295212], [0.7509393692016602, 0.14007118344306946, 0.00044269266072660685, 0.10854674130678177]]]","[0.8653374314308167, 0.7509393692016602]","[3, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.24833452701568604, 0.47297751903533936, 0.12793725728988647, 0.15075066685676575], [0.2264794260263443, 0.4577442407608032, 0.12454410642385483, 0.19123224914073944], [0.41682642698287964, 0.5631886124610901, 0.005697072017937899, 0.014287840574979782], [0.472048819065094, 0.5143045783042908, 0.0023235527332872152, 0.011323036625981331]], [[0.040027666836977005, 0.8975604176521301, 0.05988551676273346, 0.002526285359635949], [0.03856080770492554, 0.8936312794685364, 0.06544380635023117, 0.002364105312153697], [0.05187066271901131, 0.9464985132217407, 8.367145346710458e-05, 0.001547131105326116], [0.4169415831565857, 0.5746562480926514, 0.0002457948576193303, 0.00815639179199934]]]","[0.5631886124610901, 0.9464985132217407]","[2, 2]","[1, 1]"
